id,name,sku,collection,short_description,description,dimensions,specs,materials
3219,Bainbridge Sectional Right Arm Loveseat,NC275RL,Bainbridge,"The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This outdoor wicker sectional couch includes long lasting Sunbrella fabric cushions, with quick-ship options for fast","The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This outdoor wicker sectional couch includes long lasting Sunbrella fabric cushions, with quick-ship options for fast

<p>The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This outdoor wicker sectional couch includes long lasting Sunbrella fabric cushions, with quick-ship options for fast delivery!</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  <li>Frame: 53 W x 32.5″ D x 33″ H</li>
  <li>Seat: 50″ W x 25″ D x 13″ H</li>
  <li>6″ Cushion thickness</li>
</ul>",,,"['Aluminum', 'Wicker']"
3213,Bainbridge Sofa,NC2753S,Bainbridge,"The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural","The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural

<p>The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  <li>Cush270/271</li>
  <li>Frame: 81 W x 32.5″ D x 33″ H</li>
  <li>Seat: 75″ W x 25″ D x 13″ H</li>
  <li>6″ Cushion thickness</li>
</ul>",,,"['Aluminum', 'Wicker']"
3319,Bainbridge Square Coffee Table,NC275CT-SQ,Bainbridge,"Wicker Square Coffee Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural","Wicker Square Coffee Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural

<p>Wicker Square Coffee Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Cleans with soap and water</li>
  <li>Glass Top included</li>
</ul>",,,"['Aluminum', 'Wicker']"
5545,Bainbridge Square Coffee Table Glass Top,NC275CT-SQ-GL,Bainbridge,,,"32"" x 32""",,['Wicker']
3320,Bainbridge Square End Table,NC275ET-SQ,Bainbridge,"Wicker Square End Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural","Wicker Square End Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural

<p>Wicker Square End Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Cleans with soap and water</li>
  <li>Glass Top included</li>
</ul>",,,"['Aluminum', 'Wicker']"
3351,Bainbridge Square Ottoman,NC275O-SQ,Bainbridge,"The Bainbridge Wicker Square Ottoman is the perfect addition to your Bainbridge patio set as a footrest or extra seat. Put your feet up and relax. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This square wicker ottoman includes a fade- and mildew-resistant Sunbrella® cushion.","The Bainbridge Wicker Square Ottoman is the perfect addition to your Bainbridge patio set as a footrest or extra seat. Put your feet up and relax. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This square wicker ottoman includes a fade- and mildew-resistant Sunbrella® cushion.

<p>The Bainbridge Wicker Square Ottoman is the perfect addition to your Bainbridge patio set as a footrest or extra seat. Put your feet up and relax. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This square wicker ottoman includes a fade- and mildew-resistant Sunbrella® cushion.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  <li>Frame: 25″ D x 25″ W x 13″ H</li>
  <li>Seat: 25″ D x 25″ W x 13″ H</li>
  <li>6″ Cushion Thickness</li>
</ul>",,,"['Aluminum', 'Wicker']"
3221,Bainbridge Swivel Glider Club Chair,NC275SG,Bainbridge,"Blending both style and comfort, the Bainbridge Wicker Swivel Glider Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural","Blending both style and comfort, the Bainbridge Wicker Swivel Glider Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural

<p>Blending both style and comfort, the Bainbridge Wicker Swivel Glider Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  <li>Frame: 31″ W x 32.5″ D x 33″ H</li>
  <li>Seat: 25″ W x 25″ D x 13″ H</li>
  <li>6″ Cushion thickness</li>
</ul>",,,"['Aluminum', 'Wicker']"
5538,Universal High Back Swivel Glider Premium,NC415HBSG-P,Bainbridge,,,"30"" x 33"" x 39"" H",,['Wicker']
5539,Universal Recliner,NC415RX,Bainbridge,,,"31"" x 33"" x 39"" H",,['Wicker']
5540,Universal Recliner Premium Weave,NC415RX-P,Bainbridge,,,"31"" x 33"" x 39"" H",,['Wicker']
3367,Balboa Single Adjustable Chaise with Arms,NC2030-SACL-A,Balboa,This teak Patio Chaise Lounge is a naturally weather-resistant hardwood which may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown,"This teak Patio Chaise Lounge is a naturally weather-resistant hardwood which may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown

<p>This teak Patio Chaise Lounge is a naturally weather-resistant hardwood which may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.</p>

<ul>
  <li>You may choose to allow your teak to weather to a beautiful silver-gray patina or treat it with an oil or sealer specifically made for teak twice a year to preserve the natural wood/teak’s rustic finish</li>
  <li>Hardware is zinc-coated steel that has been plated in brass. The zinc helps minimize corrosion, steel was chosen for strength and brass for its luster.</li>
  <li>Plantation-grown teak is harvested from mature trees that are part of a replenished forestry program</li>
  <li>Base Material: Teak</li>
  <li>Top Color: Light Yellow</li>
  <li>Base Color: Light Yellow</li>
  <li>Assembly Required: Yes</li>
  <li>Top Material: Teak</li>
  <li>Top Material Details: Plantation-grown teak</li>
</ul>",,,['Aluminum']
3368,Balboa Single Adjustable Chaise without Arms,NC2030-SACL,Balboa,This teak Patio Chaise Lounge is a naturally weather-resistant hardwood which may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown,"This teak Patio Chaise Lounge is a naturally weather-resistant hardwood which may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown

<p>This teak Patio Chaise Lounge is a naturally weather-resistant hardwood which may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.</p>

<ul>
  <li>You may choose to allow your teak to weather to a beautiful silver-gray patina or treat it with an oil or sealer specifically made for teak twice a year to preserve the natural wood/teak’s rustic finish</li>
  <li>Hardware is zinc-coated steel that has been plated in brass. The zinc helps minimize corrosion, steel was chosen for strength and brass for its luster.</li>
  <li>Plantation-grown teak is harvested from mature trees that are part of a replenished forestry program</li>
  <li>Base Material: Teak</li>
  <li>Top Color: Light Yellow</li>
  <li>Base Color: Light Yellow</li>
  <li>Assembly Required: Yes</li>
  <li>Top Material: Teak</li>
  <li>Top Material Details: Plantation-grown teak</li>
</ul>",,,['Aluminum']
3208,Biscayne Lounge Chair,NC6510C,Biscayne 6510,"Lounge Chair With Cushions, with it, is light gray-colored wicker with a full round design, comfortably seats 1 adult. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.","Lounge Chair With Cushions, with it, is light gray-colored wicker with a full round design, comfortably seats 1 adult. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.

<p>Lounge Chair With Cushions, with it, is light gray-colored wicker with a full round design, comfortably seats 1 adult. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.</p>

<ul>
  <li>Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance</li>
  <li>Sunbrella® cushion covers provide unmatched fade, moisture and mildew resistance, and can be easily unzipped for cleaning</li>
  <li>Assembly Required: Yes</li>
  <li>Seat Height Without Cushion 17”</li>
  <li>Seat Cushion Thickness 4.5”</li>
  <li>Seat Size: 22” x 23”, Deck ht: 12.5”</li>
</ul>",,,"['Aluminum', 'Wicker']"
3209,Biscayne Loveseat,NC6510LS,Biscayne 6510,"Loveseat with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 2 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade and mildew resistant fabric.","Loveseat with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 2 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade and mildew resistant fabric.

<p>Loveseat with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 2 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade and mildew resistant fabric.</p>

<ul>
  <li>Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance</li>
  <li>Plush, overstuffed cushions are made from quick-drying polyurethane foam</li>
  <li>Frame Material: Wicker/Rattan</li>
  <li>Seat Height Without Cushion 17”</li>
  <li>Seat Cushion Thickness 4.5”</li>
  <li>Back Cushion Thickness 4.5”</li>
  <li>Product Care: Clean with mild soap and water</li>
  <li>Assembly Required: Yes</li>
</ul>",,,"['Aluminum', 'Wicker']"
3349,Biscayne Ottoman,NC6510O-REC,Biscayne 6510,"Ottoman, with its light beige-colored wicker with a full round design, is the perfect footrest addition. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.","Ottoman, with its light beige-colored wicker with a full round design, is the perfect footrest addition. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.

<p>Ottoman, with its light beige-colored wicker with a full round design, is the perfect footrest addition. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.</p>

<ul>
  <li>Full-round wicker design gives it a more tactile, luxurious texture and look</li>
  <li>Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance</li>
  <li>Sunbrella® cushion covers provide unmatched fade, moisture and mildew resistance, and can be easily unzipped for cleaning</li>
  <li>Plush, overstuffed cushions are made from quick-drying polyurethane foam</li>
  <li>Cushion Thickness 4.5”</li>
  <li>Seat Size: 22” x 20”, Deck ht: 12.5”</li>
</ul>",,,"['Aluminum', 'Wicker']"
3310,Biscayne Rectangular Coffee Table,NC6510CT-REC,Biscayne 6510,"Coffee Table, with its light beige-colored wicker with a full round design, is the perfect centerpiece for your home. Each strand of this outdoor wicker is made from High-Density","Coffee Table, with its light beige-colored wicker with a full round design, is the perfect centerpiece for your home. Each strand of this outdoor wicker is made from High-Density

<p>Coffee Table, with its light beige-colored wicker with a full round design, is the perfect centerpiece for your home. Each strand of this outdoor wicker is made from High-Density Polyethylene.</p>

<ul>
  <li>High-Density Polyethylene (HDPE) all-weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance</li>
  <li>Tempered glass top</li>
</ul>",,,"['Aluminum', 'Wicker']"
5543,Biscayne Rectangular Coffee Table Glass Top,NC6510CT-REC-GL,Biscayne 6510,,,"34"" x 24""",,['Wicker']
3312,Biscayne Rotating Chat Table,NC6510R-CHT,Biscayne 6510,Chat Table with an inset glass top rotates 360 degrees. Both top and base are beige-colored outdoor wicker made from High-Density,"Chat Table with an inset glass top rotates 360 degrees. Both top and base are beige-colored outdoor wicker made from High-Density

<p>Chat Table with an inset glass top rotates 360 degrees. Both top and base are beige-colored outdoor wicker made from High-Density Polyethylene.</p>

<ul>
  <li>Full-round wicker design gives it a more tactile, luxurious texture and look</li>
  <li>Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance</li>
  <li>This unique rotating tabletop offers easy access</li>
  <li>Tempered glass insert</li>
  <li>Seating Capacity: 4</li>
  <li>Durability: Weather Resistant</li>
  <li>Glass Top included</li>
  <li>Assembly Required: Yes</li>
</ul>",,,"['Aluminum', 'Wicker']"
5541,Biscayne Rotating Chat Table Glass Top,NC6510R-CHT-GL,Biscayne 6510,,,"36"" Dia.",,['Wicker']
3210,Biscayne Sofa,NC65103S,Biscayne 6510,"Sofa with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 3 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.","Sofa with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 3 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.

<p>Sofa with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 3 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.</p>

<ul>
  <li>Wicker/Rattan</li>
  <li>Full-round wicker design gives it a more tactile, luxurious texture and look</li>
  <li>Includes 2 small back buttons, no welt</li>
  <li>Plush, overstuffed cushions are made from quick-drying polyurethane foam</li>
  <li>Full-sized design provides deep, comfortable seating</li>
  <li>Leg material: Polywood</li>
  <li>Frame Material: Wicker/Rattan</li>
  <li>Seat Height Without Cushions 17″</li>
  <li>Seat and Back Seat Cushion Thickness 6″</li>
  <li>Seat Depth – Front to Back 13″</li>
  <li>Seat Back Height 18″</li>
  <li>Back cushions: 18″ H x 22″ W x 6″ D</li>
  <li>Seat cushions: 6″ H x 22″ W x 13″ D</li>
  <li>Product Care: Clean with mild soap and water</li>
  <li>Assembly Required: Yes</li>
</ul>",,,"['Aluminum', 'Wicker']"
3311,Biscayne Square End Table,NC6510ET-SQ,Biscayne 6510,"Keep food, drinks and reading materials within easy reach with this Side Table. Each strand of this outdoor wicker is made from High-Density Polyethylene, beige-colored outdoor","Keep food, drinks and reading materials within easy reach with this Side Table. Each strand of this outdoor wicker is made from High-Density Polyethylene, beige-colored outdoor

<p>Keep food, drinks and reading materials within easy reach with this Side Table. Each strand of this outdoor wicker is made from High-Density Polyethylene, beige-colored outdoor wicker.</p>

<ul>
  <li>Durability: Weather Resistant</li>
  <li>Glass Top</li>
  <li>Assembly Required: Yes</li>
</ul>",,,"['Aluminum', 'Wicker']"
5542,Biscayne Square End Table Glass Top,NC6510ET-SQ-GL,Biscayne 6510,,,"22"" x 22""",,['Wicker']
3211,Biscayne Swivel Rocker,NC6510SR,Biscayne 6510,Swivel Rocking Chair With Cushions not only rocks but it also swivels. The beige-colored outdoor wicker is made from high-density polyethylene that partnered with cushions covered in fade- and mildew-resistant Sunbrella fabric which creates a wonderfully comfortable experience.,"Swivel Rocking Chair With Cushions not only rocks but it also swivels. The beige-colored outdoor wicker is made from high-density polyethylene that partnered with cushions covered in fade- and mildew-resistant Sunbrella fabric which creates a wonderfully comfortable experience.

<p>Swivel Rocking Chair With Cushions not only rocks but it also swivels. The beige-colored outdoor wicker is made from high-density polyethylene that partnered with cushions covered in fade- and mildew-resistant Sunbrella fabric which creates a wonderfully comfortable experience.</p>

<ul>
  <li>Weight Capacity: 250 lb.</li>
  <li>Assembly Required: No</li>
  <li>Seat 30” W x 29” D</li>
  <li>Seat Size: 22” x 23”, Deck ht: 12.5”</li>
  <li>Seat Height – Floor to Seat 13”</li>
  <li>Seat Cushion Thickness 6”</li>
</ul>",,,"['Aluminum', 'Wicker']"
3299,Braeburn Round Dining Table,NC2035-DT-55,Braeburn,This teak round dining table is the perfect size to seat 4 adults around. This naturally weather-resistant hardwood may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.,"This teak round dining table is the perfect size to seat 4 adults around. This naturally weather-resistant hardwood may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.

<p>This teak round dining table is the perfect size to seat 4 adults around. This naturally weather-resistant hardwood may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.</p>

<ul>
  <li>Hardware is zinc-coated steel that has been plated in brass. The zinc helps minimize corrosion, steel was chosen for strength and brass for its luster.</li>
  <li>You may choose to allow your teak to weather to a beautiful silver-gray patina or treat it with an oil or sealer specifically made for teak twice a year to preserve the natural wood/teak’s rustic finish</li>
  <li>Plantation-grown teak is harvested from mature trees that are part of a replenished forestry program</li>
  <li>Base Material: Teak</li>
  <li>Top Color: Light Yellow</li>
  <li>Base Color: Light Yellow</li>
  <li>Seating Capacity: 5</li>
  <li>Table Mechanism: Fixed Table</li>
  <li>Assembly Required: Yes</li>
  <li>Top Material: Teak</li>
  <li>Top Material Details: Plantation-grown teak</li>
</ul>","55""",,['Aluminum']
